,word,frequency,decade,count,freq_entropy
198571,lancelot,1.1895349709304417e-07,1840,18.0,1.3449626835753943
3550620,lancelot,3.053510740045471e-07,1990,18.0,1.3449626835753943
338442,lancelot,1.1495048278053262e-07,1850,18.0,1.3449626835753943
3819571,lancelot,1.8225091633718267e-06,2000,18.0,1.3449626835753943
804482,lancelot,2.332186581643229e-07,1880,18.0,1.3449626835753943
1537571,lancelot,6.263321070733158e-07,1920,18.0,1.3449626835753943
2918206,lancelot,9.918087753008868e-07,1970,18.0,1.3449626835753943
2697291,lancelot,8.148332240098757e-08,1960,18.0,1.3449626835753943
2959953,laval,1.653014625501478e-07,1970,18.0,1.3491223972055963
223505,laval,5.947674854652209e-08,1840,18.0,1.3491223972055963
1756664,laval,1.205648988094278e-05,1930,18.0,1.3491223972055963
2704155,laval,8.148332240098757e-08,1960,18.0,1.3491223972055963
3618881,laval,6.785579422323266e-08,1990,18.0,1.3491223972055963
3304918,laval,7.806422578047638e-08,1980,18.0,1.3491223972055963
36677,laval,3.564157689741499e-07,1830,18.0,1.3491223972055963
1604319,laval,7.368613024391953e-08,1920,18.0,1.3491223972055963
3882624,laval,1.256902871290915e-07,2000,18.0,1.3491223972055963
487370,laval,1.6801146779074552e-07,1860,18.0,1.3491223972055963
629924,laval,4.0617297627614723e-07,1870,18.0,1.3491223972055963
1358625,laval,2.4884695725493604e-07,1910,18.0,1.3491223972055963
315371,laval,4.023266897318642e-07,1850,18.0,1.3491223972055963
1197890,laval,8.617642649885473e-08,1900,18.0,1.3491223972055963
2038003,laval,5.648257698728729e-06,1940,18.0,1.3491223972055963
836785,laval,9.328746326572917e-08,1880,18.0,1.3491223972055963
960828,laval,6.509703456968721e-07,1890,18.0,1.3491223972055963
2366807,laval,1.977564999694071e-07,1950,18.0,1.3491223972055963
618131,nixon,9.646608186558498e-07,1870,18.0,1.3583192154334491
406165,nixon,5.747524139026631e-08,1850,18.0,1.3583192154334491
1537749,nixon,5.894890419513562e-07,1920,18.0,1.3583192154334491
2889442,nixon,0.000243406403605,1970,18.0,1.3583192154334491
1780156,nixon,9.052654518114032e-07,1930,18.0,1.3583192154334491
3192992,nixon,2.5058616475532917e-05,1980,18.0,1.3583192154334491
231698,nixon,5.947674854652209e-08,1840,18.0,1.3583192154334491
797515,nixon,3.26506121430052e-07,1880,18.0,1.3583192154334491
62645,nixon,1.4256630758965998e-07,1830,18.0,1.3583192154334491
3500845,nixon,1.0381936516154598e-05,1990,18.0,1.3583192154334491
2599716,nixon,0.0001135877514269,1960,18.0,1.3583192154334491
2304311,nixon,4.1805724093532655e-05,1950,18.0,1.3583192154334491
2051155,nixon,1.4325291264891702e-06,1940,18.0,1.3583192154334491
1346241,nixon,4.976939145098721e-07,1910,18.0,1.3583192154334491
450512,nixon,1.0640726293413884e-06,1860,18.0,1.3583192154334491
1011904,nixon,9.299576367098175e-08,1890,18.0,1.3583192154334491
3803548,nixon,1.2223380423304149e-05,2000,18.0,1.3583192154334491
1122223,nixon,2.585292794965642e-06,1900,18.0,1.3583192154334491
1561787,neva,1.842153256097988e-07,1920,18.0,1.418230397563163
2944289,neva,2.8927755946275866e-07,1970,18.0,1.418230397563163
809011,neva,1.8657492653145834e-07,1880,18.0,1.418230397563163
2366522,neva,1.977564999694071e-07,1950,18.0,1.418230397563163
459189,neva,5.600382259691518e-07,1860,18.0,1.418230397563163
3195228,neva,1.3427046834241936e-05,1980,18.0,1.418230397563163
3567470,neva,1.696394855580817e-07,1990,18.0,1.418230397563163
1375349,neva,1.2442347862746802e-07,1910,18.0,1.418230397563163
988913,neva,1.394936455064726e-07,1890,18.0,1.418230397563163
319901,neva,2.873762069513316e-07,1850,18.0,1.418230397563163
1810911,neva,2.057421481389553e-07,1930,18.0,1.418230397563163
2657036,neva,2.444499672029628e-07,1960,18.0,1.418230397563163
48864,neva,2.1384946138449e-07,1830,18.0,1.418230397563163
2079638,neva,2.865058252978341e-07,1940,18.0,1.418230397563163
638934,neva,2.53858110172592e-07,1870,18.0,1.418230397563163
1152998,neva,3.016174927459916e-07,1900,18.0,1.418230397563163
152253,neva,1.6653489593026184e-06,1840,18.0,1.418230397563163
3828917,neva,9.74099725250459e-07,2000,18.0,1.418230397563163
364981,eugenie,5.747524139026631e-08,1850,18.0,1.4205928349966348
1542001,eugenie,4.789598465854768e-07,1920,18.0,1.4205928349966348
3648,eugenie,2.145622929224382e-05,1830,18.0,1.4205928349966348
2646701,eugenie,3.666749508044441e-07,1960,18.0,1.4205928349966348
2331302,eugenie,9.49231199853154e-07,1950,18.0,1.4205928349966348
1812239,eugenie,2.057421481389553e-07,1930,18.0,1.4205928349966348
3245617,eugenie,3.122569031219055e-07,1980,18.0,1.4205928349966348
667323,eugenie,1.0154324406903681e-07,1870,18.0,1.4205928349966348
964850,eugenie,5.114767001903995e-07,1890,18.0,1.4205928349966348
2046199,eugenie,2.169258391540744e-06,1940,18.0,1.4205928349966348
466291,eugenie,3.3602293558149105e-07,1860,18.0,1.4205928349966348
785934,eugenie,7.462997061258333e-07,1880,18.0,1.4205928349966348
161364,eugenie,7.13720982558265e-07,1840,18.0,1.4205928349966348
1145857,eugenie,4.308821324942737e-07,1900,18.0,1.4205928349966348
2938083,eugenie,3.7192829073783257e-07,1970,18.0,1.4205928349966348
3825910,eugenie,1.1940577277263693e-06,2000,18.0,1.4205928349966348
1341217,eugenie,7.050663788889855e-07,1910,18.0,1.4205928349966348
3562896,eugenie,2.0356738266969802e-07,1990,18.0,1.4205928349966348
1363705,woodbury,2.0737246437911337e-07,1910,18.0,1.4269871387424538
1119101,woodbury,3.748674552700181e-06,1900,18.0,1.4269871387424538
3232834,woodbury,5.464495804633346e-07,1980,18.0,1.4269871387424538
327190,woodbury,1.7242572417079894e-07,1850,18.0,1.4269871387424538
629433,woodbury,4.0617297627614723e-07,1870,18.0,1.4269871387424538
15977,woodbury,2.352344075229389e-06,1830,18.0,1.4269871387424538
1830243,woodbury,1.2344528888337317e-07,1930,18.0,1.4269871387424538
2666319,woodbury,1.6296664480197517e-07,1960,18.0,1.4269871387424538
965667,woodbury,4.649788183549087e-07,1890,18.0,1.4269871387424538
2941286,woodbury,3.306029251002956e-07,1970,18.0,1.4269871387424538
2114955,woodbury,8.18588072279526e-08,1940,18.0,1.4269871387424538
3501535,woodbury,9.16053222013641e-06,1990,18.0,1.4269871387424538
1539804,woodbury,5.526459768293964e-07,1920,18.0,1.4269871387424538
2358830,woodbury,2.373077999632885e-07,1950,18.0,1.4269871387424538
799462,woodbury,3.26506121430052e-07,1880,18.0,1.4269871387424538
176791,woodbury,2.379069941860884e-07,1840,18.0,1.4269871387424538
